"year","country","component","average","p","thr","topsh","topavg","bracketavg","b"
"2014","Brazil – equal split","Total_adj",23729.9246396198,0,0,0.99999999999997,23729.9246396191,0,Inf
,"","",,0.01,0,0.99999999999997,23969.6208481001,0,Inf
,"","",,0.02,0,0.99999999999997,24214.2088159379,0,Inf
,"","",,0.03,0,0.99999999999997,24463.8398346589,0,Inf
,"","",,0.04,0,0.99999999999997,24718.6714996033,0,Inf
,"","",,0.05,0,0.99999999999997,24978.8680417044,0,Inf
,"","",,0.06,0,0.99999999999997,25244.6006804459,0,Inf
,"","",,0.07,0,0.99999999999997,25516.0479995905,0,Inf
,"","",,0.08,0,0.99999999999997,25793.3963474121,0,Inf
,"","",,0.09,0,0.99999999999997,26076.8402633177,0,Inf
,"","",,0.1,0,0.99999999999997,26366.5829329102,0,Inf
,"","",,0.11,0,0.99999999999997,26662.8366737294,0,Inf
,"","",,0.12,0,0.99999999999997,26965.8234541127,0,Inf
,"","",,0.13,0,0.99999999999997,27275.7754478381,0,Inf
,"","",,0.14,0,0.99999999999997,27592.9356274641,0,Inf
,"","",,0.15,0,0.99999999999997,27917.5583995519,0,Inf
,"","",,0.16,0,0.99999999999997,28249.9102852609,0,Inf
,"","",,0.17,0,0.99999999999997,28590.2706501435,0,Inf
,"","",,0.18,0,0.99999999999997,28938.9324873404,0,Inf
,"","",,0.19,0,0.99999999999997,29296.2032587891,0,Inf
,"","",,0.2,0,0.99999999999997,29662.4057995239,0,Inf
,"","",,0.21,0,0.99999999999997,30037.8792906571,0,Inf
,"","",,0.22,0,0.99999999999997,30422.980307204,0,Inf
,"","",,0.23,0,0.99999999999997,30818.0839475573,0,Inf
,"","",,0.24,0,0.99999999999997,31223.5850521304,0,Inf
,"","",,0.25,0,0.99999999999997,31639.8995194922,0,Inf
,"","",,0.26,0,0.99999999999997,32067.4657292151,0,Inf
,"","",,0.27,0,0.99999999999997,32506.7460816701,0,Inf
,"","",,0.28,0,0.99999999999997,32958.2286661377,0,Inf
,"","",,0.29,0,0.99999999999997,33422.4290698861,0,Inf
,"","",,0.3,0,0.99999999999997,33899.8923423131,0,Inf
,"","",,0.31,0,0.99999999999997,34391.1951298828,0,Inf
,"","",,0.32,0,0.99999999999997,34896.9479994399,0,Inf
,"","",,0.33,0,0.99999999999997,35417.7979695808,0,Inf
,"","",,0.34,0,0.99999999999997,35954.4312721502,0,Inf
,"","",,0.35,0,0.99999999999997,36507.5763686448,0,Inf
,"","",,0.36,0,0.99999999999997,37078.0072494049,0,Inf
,"","",,0.37,0,0.99999999999997,37666.5470470145,0,Inf
,"","",,0.38,0,0.99999999999997,38274.0719993857,0,Inf
,"","",,0.39,0,0.99999999999997,38901.5158026543,0,Inf
,"","",,0.4,0,0.99999999999997,39549.8743993652,1016256.31628824,Inf
,"","",,0.41,1.01415373475922e-12,0.571740605281336,22995.5279266724,0,22674597685263260
,"","",,0.42,1.09847215124157e-12,0.571740605281336,23392.0025460978,0,21295034671255416
,"","",,0.43,1.19407997821404e-12,0.571740605281336,23802.3885556785,0,19933663565215496
,"","",,0.44,1.29454162926132e-12,0.571740605281336,24227.4312084585,0,18715065364319704
,"","",,0.45,1.40019365932776e-12,0.571740605281336,24667.9299577032,0,17617512972845740
,"","",,0.46,1.50475406656948e-12,0.571740605281336,25124.7434754384,0,16696910168661276
,"","",,0.47,1.62274780338071e-12,0.571740605281336,25598.7952391259,0,15774968350470304
,"","",,0.48,1.59164889778566e-12,0.571740605281336,26091.0797629553,0,16392484422446316
,"","",,0.49,1.62757159693057e-12,0.571740605281336,26602.6695622289,0,16345007256454178
