"year","country","component","average","p","thr","topsh","topavg","bracketavg","b"
,"","",,0.8,1.43089799346725e-12,0.571740605281336,67836.8073836837,85.7400598597818,47408555811379936
,"","",,0.81,477.359901608374,0.571704473662225,71402.653032306,9861.31983246577,149.578238121234
,"","",,0.82,13527.4368202237,0.567548826317269,74821.6159878527,14920.920641547,5.53110075339576
,"","",,0.83,16314.4044628693,0.561261018467835,78345.1863023413,18323.2883306023,4.8022093899076
,"","",,0.84,20224.5768921779,0.55353942279955,82096.5549255749,21944.9949599766,4.05924709145963
,"","",,0.85,23529.4244119601,0.544291607944151,86106.6589232815,24231.9977036028,3.65953103721114
,"","",,0.86,24953.0759437422,0.534080029916995,90526.2775818299,26202.8657071084,3.62786046040678
,"","",,0.87,27463.9090197759,0.523037910691989,95474.2323414239,28615.9035477874,3.4763526296521
,"","",,0.88,29727.3441826879,0.51097891599126,101045.759740894,30840.5251907174,3.39908466494423
,"","",,0.89,31962.1425983756,0.497982446066014,107428.05379091,33092.2259001636,3.36110301304924
,"","",,0.9,34359.7079825349,0.48403708955826,114861.636579984,36201.8576388852,3.34291655325967
,"","",,0.91,38353.086235185,0.468781306748717,123601.612017884,40909.7084739415,3.22272922861922
,"","",,0.92,43439.0477527747,0.451541593982989,133938.099960877,45436.1290078022,3.08335718414365
,"","",,0.93,47366.2419648101,0.432394407593724,146581.238668459,50188.2760903229,3.09463517872833
,"","",,0.94,53882.8907740104,0.411244624418042,162646.732431482,58903.4681704089,3.01852276474246
,"","",,0.95,63555.2134331742,0.386422182263269,183395.385283697,67599.8170986414,2.88560725984391
,"","",,0.96,73009.2818501094,0.357935021800157,212344.27732996,83197.1817810687,2.90845591065955
,"","",,0.97,92255.4206986066,0.322874993989465,255393.30917959,104117.26647685,2.76832848677745
,"","",,0.98,124660.983472417,0.278999057568237,331031.330530961,150390.054970747,2.65545258275784
,"","",,0.99,186048.569832072,0.215623359054786,511672.606091175,189743.995694522,2.75020983258841
,"","",,0.991,194480.310417334,0.207627379355056,547442.451690803,202398.135468804,2.81489910477852
,"","",,0.992,212343.823841789,0.199098143019813,590572.991218553,226351.414371012,2.78121105918565
,"","",,0.993,241810.901000298,0.189559494338515,642604.645053916,255530.948947406,2.65746764267308
,"","",,0.994,264868.290507033,0.178791194277386,707116.927738334,269169.838284357,2.66969264755971
,"","",,0.995,275104.837441593,0.167448139363721,794706.34562913,296920.340842178,2.88873999097836
,"","",,0.996,331809.583704946,0.154935653742657,919152.846825868,355370.752952278,2.77012145509095
,"","",,0.997,366582.834496667,0.139960016088968,1107080.2114504,402654.55254598,3.02000013986051
,"","",,0.998,483137.380144621,0.122991797324645,1459293.04090261,575686.244094908,3.02045153381794
,"","",,0.999,734532.175187712,0.0987318701298597,2342899.8377103,746308.944356833,3.18964902675852
,"","",,0.9991,754077.295096442,0.0955868582695578,2520298.82586067,758077.257097388,3.34222876388068
,"","",,0.9992,762431.676789949,0.092392253699126,2740576.52195604,769319.083131252,3.5945208015158
,"","",,0.9993,775734.911039538,0.0891502750800844,3022184.7275024,840230.869784358,3.89589882380369
,"","",,0.9994,949441.820631995,0.085609467923953,3385843.70378867,1046320.27555627,3.5661413160997
,"","",,0.9995,1139087.18218263,0.0812001817949561,3853748.38943505,1301000.91024099,3.38319002242726
,"","",,0.9996,1403000.26023124,0.0757176489593116,4491935.25923339,1461439.10873317,3.20166388172518
,"","",,0.9997,1520218.68848652,0.0695590153735371,5502100.64273458,1865442.33766626,3.61928233378862
,"","",,0.9998,2137199.00577258,0.0616978764698277,7320429.79526873,2819539.7669571,3.42524480663534
,"","",,0.9999,3789977.33575061,0.0498160866631747,11821319.8235804,3929107.56071759,3.11910039990757
,"","",,0.99991,4076657.58863223,0.0481603260063796,12698232.2972275,4243731.18522101,3.11486359134908
,"","",,0.99992,4422147.47145006,0.0463719801731541,13755044.9362224,4627355.28095572,3.11048987511762
,"","",,0.99993,4848427.94672938,0.0444219717549816,15059000.6012688,5107875.32119924,3.10595532546321
,"","",,0.99994,5390613.77950706,0.0422694679443931,16717521.4812712,5731508.48616763,3.10122783138804
,"","",,0.99995,6108889.2422677,0.0398541596055559,18914724.0803065,6581533.37982513,3.09626240224404
,"","",,0.99996,7116815.62938258,0.0370806432629011,21998021.7554098,7827068.54428132,3.09099222194101
,"","",,0.99997,8660937.80644217,0.0337822473922385,26721672.8257509,9882106.72114718,3.08530939985216
,"","",,0.99998,11413213.066185,0.0296178402686218,35141455.8780995,14183960.1825325,3.07901514449218
,"","",,0.99999,18263515.7784819,0.023640594070888,56098951.573434,56098951.5734339,3.07164032675076
